GeoFips,City_Match,Cost_Of_Living_RPP,City_Label,Population,Median_Household_Income,High_Skill_Total,Real_Purchasing_Power,Education_Rate
40380,"Rochester, NY",97.476,"Rochester, NY",1088373.0,65812.0,276978.0,67516.11,0.2545
40420,"Rockford, IL",93.226,"Rockford, IL",339063.0,59559.0,54022.0,63886.68,0.1593
40580,"Rocky Mount, NC",87.634,"Rocky Mount, NC",144237.0,49369.0,20298.0,56335.44,0.1407
40660,"Rome, GA",90.883,"Rome, GA",98210.0,52388.0,13735.0,57643.34,0.1399
40900,"Sacramento-Roseville-Folsom, CA",106.271,"Sacramento-Roseville-Folsom, CA",2379368.0,81264.0,565318.0,76468.65,0.2376
40980,"Saginaw, MI",90.98,"Saginaw, MI",190540.0,52749.0,29353.0,57978.68,0.1541
41060,"St. Cloud, MN",87.463,"St. Cloud, MN",198725.0,67555.0,34198.0,77238.38,0.1721
41100,"St. George, UT",94.074,"St. George, UT",176533.0,65040.0,35197.0,69137.06,0.1994
41140,"St. Joseph, MO-KS",88.859,"St. Joseph, MO-KS",122756.0,55966.0,18497.0,62982.93,0.1507
41180,"St. Louis, MO-IL",96.268,"St. Louis, MO-IL",2815627.0,69635.0,708091.0,72334.52,0.2515
41420,"Salem, OR",101.979,"Salem, OR",430384.0,65881.0,73192.0,64602.52,0.1701
41500,"Salinas, CA",109.259,"Salinas, CA",438953.0,82013.0,74311.0,75062.92,0.1693
41540,"Salisbury, MD",93.133,"Salisbury, MD-DE",414424.0,66491.0,87398.0,71393.6,0.2109
41620,"Salt Lake City-Murray, UT",96.115,"Salt Lake City, UT",1244671.0,82506.0,286857.0,85840.92,0.2305
41660,"San Angelo, TX",91.729,"San Angelo, TX",121994.0,61456.0,19523.0,66997.35,0.16
41700,"San Antonio-New Braunfels, TX",96.181,"San Antonio-New Braunfels, TX",2529453.0,65355.0,498146.0,67950.01,0.1969
41740,"San Diego-Chula Vista-Carlsbad, CA",115.054,"San Diego-Chula Vista-Carlsbad, CA",3296317.0,88240.0,906455.0,76694.42,0.275
41780,"Sandusky, OH",89.146,"Sandusky, OH",75560.0,60149.0,13750.0,67472.46,0.182
41860,"San Francisco-Oakland-Fremont, CA",120.038,"San Francisco-Oakland-Berkeley, CA",4725584.0,118547.0,1762691.0,98757.89,0.373
41940,"San Jose-Sunnyvale-Santa Clara, CA",111.612,"San Jose-Sunnyvale-Santa Clara, CA",1995351.0,138370.0,742410.0,123974.12,0.3721
